lists,user_id,s_key,list_count,is_public,type,ordering,objects,description,name,created_at
[map[created_at:1.575555202e+09 description:<nil> fanart:[https://artworks.thetvdb.com/banners/v4/movie/113/backgrounds/63fad429b7a7b.jpg https://artworks.thetvdb.com/banners/v4/movie/868/backgrounds/60ce0e54e1856.jpg https://artworks.thetvdb.com/banners/v4/movie/117/backgrounds/6a25dbc78a3a5.jpg https://artworks.thetvdb.com/banners/movies/1550/backgrounds/1550.jpg] is_public:true name:Favorite Movies order:<nil> posters:[https://artworks.thetvdb.com/banners/movies/113/posters/2195447.jpg https://artworks.thetvdb.com/banners/v4/movie/868/posters/60ce128ebe277.jpg https://artworks.thetvdb.com/banners/movies/117/posters/117.jpg https://artworks.thetvdb.com/banners/movies/1550/posters/1550.jpg] s_key:favorite-movies type:list updated_at:1.575555202e+09 user_id:1.2714234e+07] map[created_at:1.563396086e+09 description:<nil> fanart:[https://artworks.thetvdb.com/banners/fanart/original/75897-43.jpg https://artworks.thetvdb.com/banners/fanart/original/79335-18.jpg https://artworks.thetvdb.com/banners/fanart/original/82459-3.jpg https://artworks.thetvdb.com/banners/fanart/original/95491-68.jpg] is_public:true name:Favorite Shows order:<nil> posters:[https://artworks.thetvdb.com/banners/posters/75897-5.jpg https://artworks.thetvdb.com/banners/posters/79335-8.jpg https://artworks.thetvdb.com/banners/posters/82459-6.jpg https://artworks.thetvdb.com/banners/posters/63bf4a70f3055.jpg] s_key:favorite-series type:list updated_at:1.563396086e+09 user_id:1.2714234e+07]],007,collection,,,,,,,,
,007,count,1,,,,,,,
,007,favorite-movies,,false,list,0,[map[created_at:1.575555202e+09 type:movie uuid:1be8d227-5d39-4561-8dfa-7520b8c51d0f] map[created_at:1.593503194e+09 type:movie uuid:c969e184-ae5d-4766-8f94-561aa5f942ef] map[created_at:1.677389104e+09 type:movie uuid:8c4fffb7-5729-43e1-b10b-886fe62b75b5] map[created_at:1.680881578e+09 type:movie uuid:e16e4a64-2ec9-4363-b468-11d40fad789e] map[created_at:1.696828285e+09 type:movie uuid:01d4581e-5764-4597-aad9-46fadc47ae62] map[created_at:1.763966776e+09 type:movie uuid:bd2e6693-3d05-44eb-b8a8-68ff96b636cd] map[created_at:1.763966792e+09 type:movie uuid:d1bcb2ec-7a87-4686-9af1-44f4510fe80f] map[created_at:1.763966803e+09 type:movie uuid:b6e6e8d7-15f5-419e-8f5d-8c9d33c8320f] map[created_at:1.764798919e+09 type:movie uuid:73e49a28-9aab-4cbe-ab04-3d9cbb778fee] map[created_at:1.773096143e+09 type:movie uuid:b7c2098d-e182-4ffb-942c-8a81b1c2bf0b]],,,2026-05-26 02:00:24
,007,favorite-series,,false,list,0,[map[created_at:1.563396086e+09 id:75897 type:series] map[created_at:1.563396086e+09 id:79335 type:series] map[created_at:1.563396086e+09 id:82459 type:series] map[created_at:1.563396086e+09 id:95491 type:series] map[created_at:1.563396086e+09 id:176941 type:series] map[created_at:1.563396086e+09 id:281662 type:series] map[created_at:1.563396086e+09 id:293088 type:series] map[created_at:1.572267374e+09 id:94571 type:series] map[created_at:1.627961135e+09 id:362472 type:series] map[created_at:1.637805919e+09 id:79349 type:series] map[created_at:1.678237542e+09 id:244061 type:series] map[created_at:1.709649106e+09 id:74852 type:series uuid:eb28d2d4-4f43-4167-b0f8-206f8fa3476d] map[created_at:1.732309637e+09 id:425999 type:series uuid:97f2cf8b-5dd4-479b-a457-b608802eb1a0] map[created_at:1.734295165e+09 id:332331 type:series uuid:9c3b4dfe-e037-4124-b2a4-583d81a7aeef] map[created_at:1.751904566e+09 id:366211 type:series uuid:5313bc71-e5b4-4306-a60e-cd9a7011df32] map[created_at:1.756305592e+09 id:452595 type:series uuid:8f5a60f5-2235-4027-904e-25fe3b9cc1f8]],,,2026-06-25 09:54:14
